TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionDate,TransactionTime,TransactionAmount,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,EmailDomain,Terrorism,UserTenure,IsFraud
16340,3751,37,Female,Student,High School,Single,3,83756.5,72065.03,6906.3,2023-12-30,02:06:54,277.97,M004,Purchase,Darwin,smartphone,-20.917574,142.702789,hsoto@outlook.com,True,22,1
10406,1144,40,Male,Student,High School,Married,3,28507.5,22346.57,1440.4,2023-01-16,05:51:13,45.96,M007,Purchase,Hobart,Mobile,-31.840233,145.612793,scottandrews@tempmail.com,False,88,1
7740,3902,46,Male,Student,Master,Married,0,67126.03,45022.83,2623.13,2023-12-09,00:42:32,336.12,M008,Purchase,Canberra,Mobile,-25.042261,117.793221,claytonjay@tempmail.com,True,73,1
3284,4988,32,Female,Student,High School,Married,3,26484.2,17204.07,228.15,2023-05-24,17:40:34,58.5,M001,Payment,Adelaide,Tablet,-20.917574,142.702789,samanthaball@gmail.com,False,80,0
12574,4514,33,Male,Student,Bachelor,Married,3,63578.15,48035.85,233.23,2023-12-19,11:34:42,240.03,M001,Purchase,Melbourne,Tablet,-37.0201,144.9646,margaretmyers@securemail.com,False,6,0
2514,3361,19,Female,Student,High School,Married,2,60216.54,44488.96,1279.32,2023-11-27,16/32/19,149.82,M005,Purchase,Hobart,Tablet,-37.0201,144.9646,lopezheather@gmail.com,False,67,0
15944,4237,48,she,Student,High School,Single,4,57153.0,108165.48,2924.12,2023-12-14,07:42:21,210.2,M004,Withdrawal,Canberra,android,-30.000233,136.209152,lauravaldez@outlook.com,False,3,1
11960,4702,22,Male,Professional,Bachelor,Single,1,19193.12,12224.2,599.36,2023-11-29,03:10:00 PM,188.37,M004,Purchase,Canberra,Desktop,-31.840233,145.612793,hillfaith@gmail.com,False,22,0
10477,1693,23,Male,Professional,Master,Single,2,54856.77,34628.31,959.96,2023-08-07,11:56:40,638.74,M004,Transfer,Mel,iphone 15,-37.0201,144.9646,sjones@gmail.com,True,65,0
12244,4829,38,she,Student,PhD,Single,3,58414.24,23791.91,5173.32,2023-07-07,13:41:31,26.19,M007,Transfer,Darwin,Mobile,-25.042261,117.793221,oduncan@outlook.com,False,78,0
6227,4920,-37,Male,Professional,High School,Single,4,76795.34,53531.11,3365.59,2023-12-28,18:20:37,289.46,M008,Payment,Mel,iphone 15,-31.840233,145.612793,hespinoza@gmail.com,True,69,0
14666,3796,27,Male,Student,Bachelor,Married,0,42539.85,73068.75,5569.76,2023-04-30,12:39:33 PM,168.08,M007,Transfer,Darwin,Mobile,-25.042261,117.793221,melissa89@disposable.com,True,89,0
9191,4498,33,Female,Retired,High School,Single,3,80648.58,51252.91,6588.07,2023-07-18,02:37:02,319.83,M006,Purchase,Canberra,Desktop,-37.0201,144.9646,smithsamantha@outlook.com,False,66,1
8791,4038,35,he,Student,Bachelor,Single,2,52268.94,24401.93,2155.66,2023-01-21,07:04:13 PM,259.6,M006,Purchase,Adelaide,Mobile,-20.917574,142.702789,davidcook@gmail.com,True,65,0
9300,3549,18,Female,Student,Master,Single,2,49673.62,15622.09,3852.94,2023-08-23,10:00:13,45.92,M002,Purchase,Adelaide,Desktop,-31.840233,145.612793,john63@gmail.com,False,80,0
5006,2234,50,isnotfemale,Professional,High School,Married,2,85506.26,32330.46,6751.59,2023-07-12,01:14:35,54.97,M001,Transfer,Darwin,Tablet,-25.042261,117.793221,debralara@gmail.com,False,54,1
6214,396,32,Female,Professional,Bachelor,Married,0,67537.82,27280.24,3219.41,2023-09-10,12:00:11,1315.77,M004,Purchase,Perth,Mobile,-37.0201,144.9646,jose83@outlook.com,False,59,0
14760,2586,36,Female,Student,Bachelor,Married,1,37420.14,43050.68,9309.15,2023-12-09,17:23:53,186.39,M007,Purchase,Hobart,Mobile,-20.917574,142.702789,elowery@yahoo.com,False,84,0
5257,2179,-41,Female,Retired,High School,Married,4,107908.66,85578.77,10950.36,2023-12-15,18:00:00,336.1,M003,Transfer,Adelaide,Desktop,-25.042261,117.793221,ipace@tempmail.com,False,7,0
9331,1182,26,Male,Professional,Master,Married,3,51211.72,37158.58,3088.71,2023-11-01,17:58:00,352.44,M006,Purchase,Darwin,Desktop,-31.840233,145.612793,greendarren@gmail.com,False,59,0
10385,1467,31,Male,Professional,Bachelor,Married,2,34519.76,12482.53,2295.06,2023-06-11,19:35:16,171.39,M006,Purchase,Perth,Mobile,-37.0201,144.9646,eevans@gmail.com,False,69,0
17354,1194,39,Female,Professional,High School,Married,4,56276.52,72137.62,3006.73,2023-10-31,03:55:32,5048.71,M005,Purchase,Adelaide,Mobile,-41.640079,146.315918,adamclark@disposable.com,True,29,1
12981,4463,31,Male,Professional,Bachelor,Married,3,65876.65,25083.99,1217.99,2023-12-09,07/37/18,172.1,M004,Purchase,Brisbane,Mobile,-31.840233,145.612793,petersonethan@gmail.com,True,88,0
3301,3148,34,Female,Professional,Bachelor,Single,3,83260.62,41450.56,154.74,2023-01-23,00:10:09,53.9,M003,Transfer,Adelaide,Mobile,-20.917574,142.702789,stephanie44@yahoo.com,False,15,1
16950,3927,57,Female,Unemployed,Bachelor,Married,4,60341.13,80281.71,2407.74,2023-12-30,07:29:40,883.05,M008,Transfer,Sydney,Mobile,-31.840233,145.612793,fuentesmeghan@disposable.com,True,17,0
6843,4841,30,Female,Student,High School,Married,2,127918.54,56945.63,631.38,2023-03-26,13:56:20,71.58,M007,Purchase,Canberra,Mobile,-20.917574,142.702789,wattstimothy@outlook.com,True,91,0
9450,3889,39,Male,Student,High School,Single,2,35296.1,22428.74,55.99,2023-12-03,14:05:08,311.05,M001,Purchase,Hobart,Tablet,-20.917574,142.702789,sanchezstephanie@outlook.com,False,48,0
7990,3616,47,Female,Retired,High School,Single,3,26761.94,10016.3,1867.46,2023-12-24,22:41:59,47.75,M001,Withdrawal,Sydney,Mobile,-31.840233,145.612793,aleonard@tempmail.com,False,29,1
5406,2792,18,Male,Professional,Bachelor,Divorced,1,60890.14,34038.71,1583.34,2023-12-18,15:27:47,139.63,M004,Withdrawal,Darwin,Desktop,-20.917574,142.702789,lorimyers@outlook.com,True,3,1
712,2399,37,Female,Student,High School,Single,3,49481.45,27019.41,3869.0,2023-11-25,10:11:30,193.43,M008,Purchase,Adelaide,Desktop,-31.840233,145.612793,lauriephillips@tempmail.com,False,39,0
15532,2624,24,man,Student,High School,Single,1,36713.35,30915.69,2478.48,2023-01-20,04:54:49,112.41,M001,Transfer,Perth,android,-31.840233,145.612793,lwilliams@tempmail.com,False,21,1
4409,1052,31,Male,Professional,Master,Married,3,40922.73,20435.54,548.82,2023-04-09,16:05:42,2226.71,M006,Withdrawal,Canberra,Desktop,-31.840233,145.612793,lhoover@tempmail.com,False,4,1
14279,4613,42,Female,Student,Bachelor,Married,2,74295.83,57196.95,2751.0,2023-04-27,01:45:41,406.42,M007,Transfer,Brisbane,Desktop,-20.917574,142.702789,vfrey@gmail.com,False,52,1
5920,2197,56,isnotmale,Professional,High School,Divorced,4,36454.61,20071.96,2943.78,2023-09-21,23:59:59,193.75,M005,Purchase,Brisbane,Desktop,-35.473469,149.012375,martinezsteven@outlook.com,True,3,0
12882,1228,28,Female,Professional,Bachelor,Divorced,4,88724.1,70900.16,2661.65,2023-07-04,11:29:44,181.73,M001,Purchase,Canberra,Desktop,-20.917574,142.702789,jhunter@tempmail.com,True,99,0
5411,4239,44,Male,Professional,Bachelor,Married,4,75756.74,50358.64,1980.7,2023-07-01,03:48:50,377.08,M002,Purchase,Sydney,android,-25.042261,117.793221,weeksbrianna@gmail.com,True,79,1
14833,4239,44,Male,Professional,Bachelor,Married,4,75756.74,125393.01,3883.72,2023-12-07,06:28:45,69.28,M006,Transfer,Perth,Tablet,-25.042261,117.793221,weeksbrianna@gmail.com,True,79,0
550,4406,-30,Male,Student,High School,Single,0,43450.97,17077.37,62.38,2023-07-18,01:08:12,1353.98,M004,Purchase,Brisbane,Mobile,-37.0201,144.9646,qowens@yahoo.com,False,113,1
16321,2769,34,Female,Professional,Master,Single,0,90605.97,111262.71,10253.55,2023-07-18,10:22:34,2015.96,M003,Withdrawal,Sydney,Mobile,-31.840233,145.612793,timothycharles@tempmail.com,False,23,1
3241,361,50,he,Professional,PhD,Married,1,129013.48,83731.84,17626.9,2023-12-10,07:03:11,40.05,M003,Purchase,Adelaide,Tablet,-37.0201,144.9646,williedouglas@gmail.com,True,112,0
13012,1008,29,Female,Unemployed,Bachelor,Divorced,0,79963.93,55222.22,3321.98,2023-12-22,07:21:18,46.11,M003,Withdrawal,Perth,Desktop,-37.0201,144.9646,mortonmichael@securemail.com,True,113,1
13708,4426,32,Male,Professional,High School,Married,4,77228.81,26184.05,10911.49,2023-12-29,21/37/19,12.54,M007,Withdrawal,Canberra,Desktop,-41.640079,146.315918,zacharyallen@yahoo.com,True,26,1
12343,3214,41,Male,Professional,Bachelor,Married,3,62169.53,36891.5,1926.75,2023-07-13,03:32:38,119.68,M002,Transfer,Darwin,Mobile,-20.917574,142.702789,michael37@yahoo.com,False,21,1
8493,1227,50,isnotmale,Professional,Master,Single,0,105888.91,45964.63,4066.21,2023-11-27,10:57:40 AM,24.13,M001,Withdrawal,Melbourne,Desktop,-25.042261,117.793221,omar88@securemail.com,False,96,0
16535,1184,33,Male,Unemployed,Master,Single,4,83890.66,76013.03,16636.02,2023-11-27,12:27:24,226.36,M001,Payment,Adelaide,Tablet,-31.840233,145.612793,markthomas@yahoo.com,False,33,0
3264,3509,39000,Male,Professional,High School,Married,3,116358.89,51747.2,4465.14,2023-08-01,17:13:17,722.99,M002,Purchase,Perth,Mobile,-31.840233,145.612793,sydney13@gmail.com,True,43,0
5061,421,41,Female,Professional,Master,Married,2,76783.59,58703.46,84.83,2023-08-18,11:07:33,199.16,M003,Purchase,Perth,Mobile,-31.840233,145.612793,obarrett@gmail.com,True,63,0
8444,482,41,isnotfemale,Professional,Bachelor,Married,4,86318.21,58595.76,12607.8,2023-01-03,02:43:44,229.07,M003,Withdrawal,Brisbane,iphone 15,-25.042261,117.793221,uflynn@gmail.com,True,34,1
2098,2329,32,Male,Retired,Master,Single,0,78707.17,57727.49,2047.6,2023-09-29,05:13:48,67.29,M003,Withdrawal,Darwin,Tablet,-25.042261,117.793221,robert15@gmail.com,True,51,1
7001,4061,24,Male,Professional,Bachelor,Married,4,58043.86,35165.58,2228.04,2023-05-09,11:44:57,38.61,M007,Transfer,Hobart,Tablet,-37.0201,144.9646,justincunningham@outlook.com,False,87,0
7292,1657,32,Female,Student,Bachelor,Divorced,2,41874.27,18475.52,8175.79,2023-09-04,07:29:43,389.42,M008,Withdrawal,Sydney,Desktop,-31.840233,145.612793,panderson@tempmail.com,False,12,1
3671,2578,-41,Male,Professional,High School,Single,4,25120.88,10665.47,1683.28,2023-12-03,23:59:59,83.49,M007,Withdrawal,Adelaide,Desktop,-20.917574,142.702789,teresapeterson@outlook.com,False,52,1
14835,2999,18,he,Professional,High School,Married,3,132620.42,121010.71,25255.16,2023-12-28,11:08:16,115.51,M002,Purchase,Perth,Mobile,-30.000233,136.209152,rbeard@yahoo.com,True,88,0
17258,3539,30,she,Professional,PhD,Widowed,1,120725.0,229837.36,4319.76,2023-11-14,13:42:13,277.11,M003,Payment,Sydney,Mobile,-37.0201,144.9646,ofields@gmail.com,False,56,0
17271,2220,44,Male,Student,Master,Single,2,110690.66,174790.06,2050.62,2023-08-28,04:14:07,13.81,M002,Transfer,Brisbane,Desktop,-25.042261,117.793221,wshaw@gmail.com,True,58,1
4416,4125,40,Male,Student,High School,Married,2,130701.5,68908.34,1669.85,2023-11-24,03:31:58,61.03,M006,Payment,Perth,Desktop,-25.042261,117.793221,sandy70@outlook.com,False,91,1
16527,2065,31,Female,Student,High School,Single,2,33356.81,48017.73,9815.16,2023-03-06,16/59/55,164.7,M003,Transfer,Darwin,Mobile,-37.0201,144.9646,solismiranda@yahoo.com,True,15,0
10263,2265,48,Female,Student,Master,Married,2,46274.65,21153.4,2460.12,2023-06-11,21:23:00,373.7,M003,Purchase,Brisbane,Desktop,-31.840233,145.612793,zmontgomery@tempmail.com,False,49,0
8940,3826,34,Female,Student,High School,Single,3,58239.78,27020.82,634.22,2023-01-05,22:49:40,76.55,M002,Transfer,Perth,Mobile,-20.917574,142.702789,chaley@yahoo.com,True,10,0
16200,295,35,Male,Unemployed,High School,Married,2,63994.37,56815.8,3047.42,2023-02-20,20:09:16,535.45,M008,Transfer,Melbourne,Desktop,-20.917574,142.702789,baldwinmark@outlook.com,True,69,0
16292,2860,36,Female,Professional,Master,Married,2,35307.17,43333.94,348.27,2023-05-08,00:56:42,2970.2,M005,Purchase,Hobart,Mobile,-30.000233,136.209152,strongclaudia@gmail.com,False,91,1
2934,4208,24,Male,Professional,Master,Single,4,107281.03,49342.2,2911.26,2023-10-11,19:28:06,103.89,M008,Transfer,Canberra,Mobile,-25.042261,117.793221,samueldavis@gmail.com,False,45,0
14787,4313,36,woman,Professional,High School,Single,0,62095.73,63283.9,727.36,2023-11-15,19:27:12,926.46,M001,Purchase,Sydney,Mobile,-30.000233,136.209152,bakercristina@yahoo.com,False,7,0
6597,4909,56,Male,Professional,Bachelor,Single,2,130978.08,86331.74,9810.4,2023-10-15,06:23:28 PM,366.51,M003,Transfer,Brisbane,android,-31.840233,145.612793,brandon67@gmail.com,False,50,0
10043,4612,45,Male,Professional,High School,Married,4,74836.21,35309.92,2918.05,2023-11-20,18:11:48,52.93,M007,Purchase,Darwin,Desktop,-31.840233,145.612793,mary65@gmail.com,False,90,0
10078,1856,36,Male,Professional,Bachelor,Married,0,69044.04,49940.3,1682.36,2023-08-01,02:20:24,144.31,M005,Purchase,Hobart,Desktop,-25.042261,117.793221,wendy85@disposable.com,True,31,1
4833,2489,25,Female,Student,High School,Divorced,4,93434.61,52554.6,3691.49,2023-04-20,21:50:20,24.09,M003,Purchase,Darwin,Mobile,-41.640079,146.315918,melissawashington@gmail.com,True,100,0
16635,3181,27,Male,Professional,High School,Married,1,70457.42,101605.97,668.78,2023-08-20,11:04:34 AM,572.55,M006,Withdrawal,Canberra,Mobile,-31.840233,145.612793,katierose@tempmail.com,True,42,1
11446,2475,34000,Female,Student,High School,Single,1,136975.56,87802.67,1975.95,2023-07-23,21:12:12,3.24,M004,Withdrawal,Darwin,Mobile,-30.000233,136.209152,nicole61@gmail.com,False,1,1
12917,4607,55,Female,Retired,Master,Married,1,90668.36,46402.38,1273.95,2023-11-09,23:59:59,125.97,M004,Purchase,Darwin,Desktop,-37.0201,144.9646,ashley82@yahoo.com,False,3,0
17037,781,40,he,Professional,High School,Married,4,126505.47,193653.62,29594.44,2023-12-18,12/23/57,324.89,M005,Purchase,Brisbane,android,-20.917574,142.702789,albert45@gmail.com,False,117,0
15691,2869,25,Female,Unemployed,Master,Single,4,83072.28,129792.64,5361.12,2023-11-23,04/03/36,377.9,M002,Purchase,Brisbane,Mobile,-20.917574,142.702789,margaretleblanc@yahoo.com,False,43,1
12025,4145,18,Male,Professional,Bachelor,Married,3,44506.03,22856.31,1737.75,2023-10-20,13/50/17,22.92,M001,Withdrawal,Darwin,Desktop,-20.917574,142.702789,daniel61@outlook.com,True,102,1
56,4642,34,Male,Student,High School,Single,1,112458.8,65786.8,3586.07,2023-04-25,03:37:52,940.53,M004,Purchase,Perth,Tablet,-35.473469,149.012375,pesparza@gmail.com,True,33,1
3412,15,32,isnotmale,Professional,Master,Married,3,46742.25,26174.1,1778.38,2023-03-07,13:44:26,7.92,M005,Purchase,Sydney,Desktop,-20.917574,142.702789,robertmartinez@gmail.com,False,117,0
2855,2360,25000,Male,Student,Master,Single,3,41946.59,24175.31,1682.57,2023-12-27,21:58:46,30.85,M002,Purchase,Perth,Mobile,-20.917574,142.702789,lisa02@yahoo.com,True,32,0
400,3609,48,Female,Unemployed,High School,Married,4,40163.34,30880.64,1509.99,2023-01-08,05:39:46,520.6,M004,Transfer,Hobart,smartphone,-30.000233,136.209152,tiffany51@gmail.com,False,47,1
2986,2799,46,fem,Unemployed,High School,Married,0,134919.8,53361.9,1119.08,2023-12-26,14:43:53,151.42,M008,Withdrawal,Sydney,Mobile,-20.917574,142.702789,kathryn41@gmail.com,False,12,1
6605,3926,41,Female,Professional,Master,Single,3,30715.1,10359.69,654.83,2023-12-04,06:55:29,494.16,M005,Purchase,Canberra,Mobile,-31.840233,145.612793,ramirezjohn@yahoo.com,False,115,0
16439,4372,48,Male,Student,High School,Single,0,51253.97,63699.75,5926.12,2023-10-20,06/18/50,2758.23,M003,Purchase,Hobart,galaxys7,-35.473469,149.012375,katherine53@tempmail.com,False,94,0
11373,4970,-68,Male,Unemployed,Bachelor,Single,3,32244.59,19033.58,1319.57,2023-08-20,01:02:32,20.13,M002,Payment,Perth,Mobile,-31.840233,145.612793,robertrodriguez@disposable.com,True,22,1
12988,2679,50,Female,Professional,Bachelor,Single,0,36162.45,23264.61,1458.78,2023-02-18,07:01:19,35.35,M006,Purchase,Melbourne,Desktop,-31.840233,145.612793,philip04@gmail.com,True,74,0
6554,1705,-37,man,Unemployed,High School,Married,1,66701.47,49441.83,2685.55,2023-11-06,01:01:42,16.67,M003,Purchase,Sydney,Mobile,-37.0201,144.9646,christopherspencer@outlook.com,False,84,1
8780,3709,21,Female,Professional,High School,Married,3,43054.32,29824.22,2500.26,2023-09-13,02:21:44,243.12,M006,Purchase,Hobart,Desktop,-37.0201,144.9646,kevinjohnston@outlook.com,False,85,1
7258,4263,32,Female,Unemployed,Bachelor,Married,3,28708.31,16077.13,859.98,2023-12-02,16:39:11,168.16,M003,Purchase,Melbourne,Mobile,-31.840233,145.612793,michelleanderson@outlook.com,False,95,0
11490,2091,26,fem,Unemployed,High School,Married,2,58341.07,39312.62,2798.38,2023-11-01,17:43:51,365.78,M005,Transfer,Sydney,Mobile,-37.0201,144.9646,crystal01@gmail.com,False,7,0
5781,3632,25000,Male,Unemployed,High School,Single,3,64488.68,21813.53,2744.53,2023-02-06,20:08:43,286.83,M005,Purchase,Darwin,galaxys7,-37.0201,144.9646,rpalmer@outlook.com,False,110,0
14328,1604,39,Female,Professional,Master,Married,3,37413.88,23911.35,1490.3,2023-12-28,11:58:28,56.87,M002,Purchase,Melbourne,Mobile,-31.840233,145.612793,jessica53@yahoo.com,False,103,0
9193,3384,44,Male,Professional,High School,Married,0,78149.63,30980.17,3349.05,2023-12-20,23:59:59,119.17,M004,Transfer,Adelaide,Desktop,-37.0201,144.9646,mthompson@yahoo.com,True,83,0
14693,3763,19,Female,Professional,Bachelor,Married,2,65718.54,126161.55,3467.15,2023-04-30,05:00:36,192.13,M002,Purchase,Canberra,Desktop,-20.917574,142.702789,odennis@yahoo.com,False,14,1
7233,2282,40,Female,Retired,High School,Married,1,101024.95,53480.78,3712.16,2023-09-28,12:00:00 AM,382.54,M008,Purchase,Adelaide,Mobile,-31.840233,145.612793,danieljackson@outlook.com,True,22,1
9634,4879,42,Male,Professional,High School,Married,3,157450.68,59142.63,2164.48,2023-10-21,19:20:30,61.34,M006,Purchase,Brisbane,Mobile,-31.840233,145.612793,melaniejohnson@outlook.com,False,89,0
519,1389,28,isnotmale,Student,Bachelor,Single,4,93565.48,30483.18,2671.01,2023-08-12,15:57:01,313.7,M001,Purchase,Brisbane,Desktop,-31.840233,145.612793,mooredavid@gmail.com,False,62,0
1755,4302,39000,Female,Professional,Bachelor,Divorced,2,51792.49,37146.43,7168.55,2023-07-29,15:52:54,179.02,M001,Withdrawal,Brisbane,Desktop,-31.840233,145.612793,garretthansen@yahoo.com,False,86,1
4508,2393,33,he,Student,PhD,Married,3,125722.27,42837.17,5632.52,2023-06-23,08:08:59,647.24,M002,Transfer,Melbourne,Tablet,-20.917574,142.702789,mrussell@gmail.com,False,107,0
14276,1449,24000,Female,Professional,Bachelor,Divorced,2,101060.6,68329.86,2129.89,2023-05-12,02:43:20,894.6,M004,Purchase,Melbourne,Desktop,-31.840233,145.612793,nathanwade@gmail.com,True,94,0
11553,3777,42,Female,Student,Bachelor,Single,2,78146.43,44999.76,1412.53,2023-09-15,16:11:52,84.8,M007,Purchase,Darwin,Mobile,-31.840233,145.612793,thomaslee@gmail.com,False,88,0
5263,2931,50,Female,Retired,High School,Single,4,56018.19,17500.57,2736.49,2023-11-11,05:20:27,76.02,M003,Payment,Brisbane,Mobile,-37.0201,144.9646,william45@gmail.com,False,54,1
1069,1517,28,she,Retired,High School,Divorced,1,32579.09,11498.2,277.08,2023-07-19,12:14:47,45.45,M008,Withdrawal,Canberra,Mobile,-37.0201,144.9646,patricialamb@yahoo.com,False,74,1
8340,3182,40000,Female,Unemployed,Master,Widowed,0,72159.05,29039.65,3002.06,2023-12-02,10:43:56,114.44,M006,Withdrawal,Darwin,Desktop,-37.0201,144.9646,april59@securemail.com,False,67,1
8419,3514,21,Female,Professional,Bachelor,Married,3,73114.51,35941.37,2999.11,2023-11-07,04:31:32,13.88,M005,Payment,Adelaide,Mobile,-20.917574,142.702789,gtrujillo@yahoo.com,False,45,1
11975,410,-26,Male,Professional,High School,Single,1,109323.83,64679.22,820.1,2023-12-24,08:45:33 AM,41.49,M003,Withdrawal,Sydney,smartphone,-20.917574,142.702789,ashleywolf@gmail.com,False,23,1
6611,3115,49,Male,Professional,High School,Married,0,38977.73,18069.88,1496.02,2023-12-28,13:28:28,22.49,M006,Purchase,Darwin,Mobile,-37.0201,144.9646,sharpjennifer@gmail.com,False,31,0
14160,1846,25,Male,Professional,PhD,Single,4,69662.62,23345.09,3060.85,2023-11-10,15:45:26,262.79,M006,Payment,Darwin,Mobile,29.39422,107.87254,iwilson@outlook.com,False,78,0
665,3701,31,Male,Student,Bachelor,Married,2,59045.45,31188.9,1369.78,2023-02-11,07:01:49,7.79,M005,Transfer,Perth,Desktop,-31.840233,145.612793,xtapia@securemail.com,True,73,0
11729,3090,40,Female,Professional,High School,Single,3,97716.35,49929.83,2163.34,2023-11-04,10/20/20,27.06,M003,Withdrawal,Hobart,Mobile,-37.0201,144.9646,fford@gmail.com,False,84,1
716,1938,31,Female,Student,High School,Single,2,57987.63,36921.16,541.93,2023-08-07,22/06/17,142.49,M008,Purchase,Perth,Desktop,-37.0201,144.9646,johnshepard@gmail.com,False,100,0
13461,2469,35,Female,Professional,Bachelor,Widowed,1,112467.37,47208.64,964.74,2023-08-09,23:47:51,339.67,M002,Withdrawal,Hobart,Desktop,-25.042261,117.793221,tgonzalez@gmail.com,False,24,1
1699,2039,29,Female,Student,High School,Single,2,54868.48,32833.71,1328.88,2023-11-11,13:18:24,355.07,M003,Payment,Melbourne,Desktop,-37.0201,144.9646,ijohnson@yahoo.com,True,31,0
1877,3929,35,Male,Professional,Master,Married,3,53563.67,39070.48,4635.33,2023-11-22,20:23:49,191.68,M007,Payment,Adelaide,Desktop,-31.840233,145.612793,enelson@outlook.com,False,109,0
18081,1240,24,Male,Student,Bachelor,Married,2,136446.85,147644.28,6058.56,2023-12-26,04:13:55,260.18,M002,Purchase,Hobart,android,-31.840233,145.612793,hhendrix@outlook.com,False,113,1
17300,3371,45,Female,Unemployed,Bachelor,Married,1,60770.74,58242.37,245.09,2023-03-23,02:37:41,459.05,M003,Transfer,Darwin,Desktop,-41.640079,146.315918,cali@gmail.com,False,8,1
7320,1584,25,Male,Professional,High School,Single,0,65202.52,43079.99,307.67,2023-12-16,13:19:16,93.49,M007,Transfer,Melbourne,Mobile,-37.0201,144.9646,penawilliam@gmail.com,False,74,0
15976,3986,39,Female,Professional,High School,Married,0,75884.73,73250.75,11614.59,2023-03-14,18/13/18,103.84,M006,Purchase,Melbourne,Desktop,-30.000233,136.209152,jessica29@gmail.com,False,93,0
6800,1105,36,Male,Professional,Bachelor,Married,1,96451.59,30438.13,4658.27,2023-07-24,08:39:21,131.81,M004,Payment,Perth,Mobile,-37.0201,144.9646,rileybenjamin@tempmail.com,True,84,0
15213,817,23,Male,Professional,High School,Single,4,72479.4,64204.9,13480.88,2023-12-28,01:33:20 AM,640.63,M004,Purchase,Brisbane,Tablet,-20.917574,142.702789,jamesdiaz@gmail.com,False,73,1
7065,4818,43,Female,Professional,Bachelor,Single,4,22401.48,11618.0,1146.16,2023-11-22,17:24:53,64.92,M006,Withdrawal,MLB,Mobile,-25.042261,117.793221,millerfrank@outlook.com,False,117,0
7140,2098,27,Male,Student,High School,Married,4,60676.0,32788.77,2532.84,2023-12-09,19:26:38,411.04,M004,Transfer,Hobart,Desktop,-20.917574,142.702789,jcunningham@gmail.com,False,107,0
16267,1983,23,Female,Professional,Master,Single,2,55573.91,44840.72,498.31,2023-12-19,20:22:13,58.95,M003,Withdrawal,Darwin,Mobile,-37.0201,144.9646,etodd@tempmail.com,False,71,1
10312,248,44,Male,Student,Bachelor,Married,1,109968.89,35953.29,2048.37,2023-03-11,14/34/37,755.69,M006,Transfer,Hobart,Desktop,-35.473469,149.012375,longjoseph@gmail.com,True,66,0
8990,4557,47,Male,Professional,Master,Married,4,67497.44,44175.67,8903.07,2023-09-04,20:31:50,20.48,M005,Purchase,Canberra,Desktop,-20.917574,142.702789,hlewis@yahoo.com,True,56,0
6861,953,26,she,Professional,PhD,Married,0,120697.26,81546.41,7382.93,2023-09-29,01:51:12,100.22,M007,Transfer,Brisbane,Mobile,-37.0201,144.9646,aconner@securemail.com,False,108,1
8168,2964,-24,fem,Professional,Bachelor,Single,4,70813.66,40514.13,2684.39,2023-03-30,12:33:57,26.08,M006,Payment,Brisbane,Desktop,-20.917574,142.702789,cstark@gmail.com,False,31,0
9610,4074,49,Male,Professional,PhD,Married,0,55158.82,27210.96,1651.15,2023-11-24,14:44:19,171.41,M003,Transfer,Perth,android,-19.491411,132.550964,tina15@gmail.com,False,42,0
9387,3419,18,Male,Student,High School,Married,4,87871.9,27992.72,2197.59,2023-03-23,18/25/22,133.13,M008,Purchase,Hobart,Desktop,-31.840233,145.612793,williamsdennis@gmail.com,False,6,0
8128,2940,49,Male,Student,PhD,Married,1,40328.69,27982.55,2186.6,2023-12-24,23:05:46,52.7,M001,Purchase,Sydney,Desktop,-31.840233,145.612793,jonesryan@outlook.com,False,84,0
6592,4444,39,she,Professional,Master,Widowed,0,37222.64,27441.44,2863.56,2023-12-06,06:29:38,21.42,M008,Withdrawal,Darwin,Tablet,-20.917574,142.702789,kellyodom@gmail.com,False,26,1
8672,3491,-29,Female,Student,High School,Single,3,112304.27,43228.98,12938.72,2023-11-19,11:59:59 PM,600.57,M005,Purchase,Perth,smartphone,-37.0201,144.9646,melissa26@gmail.com,False,93,0
14128,3994,28,Male,Student,High School,Married,3,83768.69,37685.18,3185.2,2023-03-18,19:39:14,221.58,M003,Purchase,Adelaide,Desktop,-37.0201,144.9646,hwise@disposable.com,False,26,0
91,392,67000,Female,Professional,Master,Married,3,63822.52,36219.96,932.48,2023-12-02,03:18:55,64.68,M001,Withdrawal,Darwin,Mobile,-31.840233,145.612793,ktorres@yahoo.com,True,62,1
2577,4260,32,Female,Student,Master,Married,3,120976.81,36606.87,2812.88,2023-07-23,16:30:14,420.53,M008,Purchase,Sydney,Desktop,-25.042261,117.793221,abriggs@gmail.com,False,88,0
10339,664,38,Male,Professional,Master,Single,1,131500.53,98614.76,1601.18,2023-10-31,15:59:20,216.98,M008,Payment,Hobart,Mobile,-25.042261,117.793221,lopezashley@outlook.com,False,66,0
8384,1527,38,Female,Professional,Bachelor,Widowed,4,58467.55,27417.24,2843.24,2023-08-21,03:16:17,327.6,M005,Transfer,Perth,Desktop,-20.917574,142.702789,crystalchristian@gmail.com,True,6,1
